PASTO,1.21371002531483,-77.2847466015938,2556
SAN ANDRES,12.58197,-81.704725,34
SANTA FE DE BOGOTÁ,4.64730178409559,-74.0962676933192,2553
IBAGUÉ,4.43642770342414,-75.1916503839093,1081
NEIVA,2.92287003097258,-75.2795181206766,444
SAN JOSÉ DEL GUAVIARE,2.55345117149258,-72.6408996512117,184
MITU,1.26443671261389,-70.2254562360183,171
MOCOA,1.1748987346326,-76.642051689641,648
ARAUCA,7.08993207472309,-70.759887688876,129
RIOHACHA,11.5438439676894,-72.9114713534895,10
INÍRIDA,3.87209974163615,-67.9234162417424,93
CALI,3.4262827544158,-76.5242004326088,960
MONTERÍA,8.75979434523211,-75.8873443539833,16
CÚCUTA,7.90247689761443,-72.4978942798224,292
PUERTO CARREÑO,6.18503150761576,-67.4984208441818,53
SANTA MARTA,11.24568,-74.186383,8
LETICIA,-3.9867,-69.9470748911655,144
MEDELLÍN,6.25128995462448,-75.5759735041668,1469
CARTAGENA,10.4141848285285,-75.4934,1
SINCELEJO,9.30674850020716,-75.3977050716558,215
BARRANQUILLA,10.976521601973,-74.810073845931,84
VALLEDUPAR,10.4811574128405,-73.2488861012257,174
MANIZALES,5.06215297270668,-75.4956207208922,2131
PEREIRA,4.80875073958159,-75.6927413874063,1403
BUCARAMANGA,7.10514174981263,-73.1169967580292,941
QUIBDÓ,5.69765721835433,-76.6550674371715,30
ARMENIA,4.52924357940428,-75.6995544367078,1390
VILLAVICENCIO,4.15730725820001,-73.6374282767513,488
TUNJA,5.53439151336481,-73.3705444265837,2855
YOPAL,5.34929143474913,-72.4030380177448,357
POPAYÁN,2.44800483276533,-76.6146545340209,1722
FLORENCIA,1.62437259256993,-75.6221694878188,323
